index,age_yr,age_class,ppt_mm,GSppt_mm,GSinvkT,AinvkT,GSinvBoltzT,AinvBoltzT,lgs_mo,biomass_gm2,anpp_gm2y,ln_biomass,ln_npp,alpha,npp_gs,ln_npp_gs,npp_M,ln_npp_M,npp_gs_M,ln_npp_gs_M,T_gs,T_ma
137,23,0-40,1499.5,1499.5,40.25193026,40.25193026,40.28189147,40.28189147,12,19465,2613,9.87637326,7.868254266,0.995,217.75,5.383347616,0.141036419,-1.958737128,0.011753035,-4.443643778,15.15833333,15.15833333
138,23,0-40,132.9,67.3,40.64481949,41.21325928,40.64751017,41.22706042,7,9481,1432,9.157045075,7.266827348,0.995,204.5714286,5.320917198,0.158115025,-1.844432502,0.022587861,-3.790342651,12.37142857,8.433333333
139,23,0-40,117.8,84.9,40.51934992,40.85656538,40.52532391,40.86975728,9,9819,1038,9.192074563,6.945051064,0.995,115.3333333,4.747826486,0.110685423,-2.201063127,0.01229838,-4.398287704,13.25555556,10.89166667
140,23,0-40,92.3,92.3,40.22635059,40.22635059,40.25092152,40.25092152,12,9211,1166,9.128153701,7.061334367,0.995,97.16666667,4.576427717,0.132499214,-2.021178566,0.011041601,-4.506085215,15.34166667,15.34166667
141,23,0-40,1455.1,1455.1,40.12435621,40.12435621,40.15700358,40.15700358,12,11424,1199,9.343471685,7.089243155,0.995,99.91666667,4.604336505,0.109974015,-2.207511171,0.009164501,-4.692417821,16.075,16.075
142,23,0-40,1470.9,1470.9,40.11164327,40.11164327,40.14283654,40.14283654,12,7919,864,8.977020214,6.761572769,0.995,72,4.276666119,0.114113428,-2.170562344,0.009509452,-4.655468994,16.16666667,16.16666667
143,24,0-40,641.6,572.2,39.91782437,40.93703425,39.92733724,40.98330439,7,3636,424,8.198639455,6.049733455,0.995,60.57142857,4.103823306,0.121491278,-2.107912803,0.017355897,-4.053822952,17.57142857,10.33333333
144,24,0-40,771.5,711.6,40.04129018,40.87095445,40.0588198,40.91977981,8,7886,887,8.972844314,6.787844982,0.995,110.875,4.708403441,0.117638948,-2.140135111,0.014704868,-4.219576652,16.675,10.79166667
145,24,0-40,1107.1,1008.5,40.20428521,41.51055297,40.2188787,41.58759618,7,8524,954,9.050640993,6.860663671,0.995,136.2857143,4.914753522,0.117100339,-2.144724117,0.01672862,-4.090634266,15.5,6.416666667
146,24,0-40,600.2,578.4,39.94748708,40.54727125,39.96994654,40.59255825,9,5088,748,8.534640105,6.617402978,0.995,83.11111111,4.420178401,0.153421855,-1.874563927,0.017046873,-4.071788504,17.35555556,13.05833333
147,24,0-40,1044.4,1044.4,40.00448224,40.00448224,40.01553591,40.01553591,12,12070,1541,9.398478314,7.340186835,0.995,128.4166667,4.855280186,0.133814725,-2.011299087,0.011151227,-4.496205737,16.94166667,16.94166667
148,24,0-40,1198.5,1198.5,40.4236874,40.4236874,40.4483153,40.4483153,12,9803,1143,9.19044374,7.041411664,0.995,95.25,4.556505014,0.12207986,-2.103079858,0.010173322,-4.587986508,13.93333333,13.93333333
149,24,0-40,1447.3,1447.3,40.08435344,40.19964295,40.1115777,40.22836521,11,13286,1739,9.494466128,7.461065514,0.995,158.0909091,5.063170242,0.137253145,-1.985928283,0.012477559,-4.383823556,16.36363636,15.53333333
150,24,0-40,1900,1900,40.20544594,40.20544594,40.22700416,40.22700416,12,15639,1822,9.657523073,7.507690078,0.995,151.8333333,5.022783428,0.122267333,-2.10154538,0.010188944,-4.58645203,15.49166667,15.49166667
151,25,0-40,712.1,640.4,40.65905978,41.72072354,40.66923423,41.7699246,7,9001,1162,9.105090961,7.057897937,0.995,166,5.111987788,0.13510979,-2.001667569,0.019301399,-3.947577718,12.27142857,5.008333333
152,25,0-40,550.2,525.8,39.8434257,41.10741893,39.8558528,41.17813311,7,6769,801,8.820108645,6.685860947,0.995,114.4285714,4.739950798,0.123668936,-2.090147154,0.017666991,-4.036057303,18.11428571,9.158333333
