"Taxa footnotes, ""[a]"", are found in Column C.",Literature or other reference., Footnotes from respective pages of Cannell (1982).,Original table order for sorting purposes.,years,log10 years,m,log10 m,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt per plant,log10 kg dry wgt per plant,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year,kg dry wgt gained per plant per year,log10 kg dry wgt gained per plant per year
Fagus sylvatica,Cannell (1982).   Page 31,,59,100,2,23.7,1.374748,41.41666667,1.617175,344.8333333,2.537609,3.916666667,0.592917,348.75,2.542514,-999,-999,390.1666667,2.591250163,2.99999824,0.477121,3.916670167,0.592917,-999,-999,-999,-999
Oxytenanthera albociliata ,Cannell (1982).   Page 32,,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Dendrocalamus strictus,Cannell (1982).   Page 32,,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,62,8,0.90309,1.9,0.278754,-999,-999,0.36036036,-0.44326,0.027027027,-1.5682,0.38738739,-0.41185,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,63,11,1.041393,2.7,0.431364,-999,-999,0.662280702,-0.17896,0.039473684,-1.40369,0.70175439,-0.15381,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,64,13,1.113943,3.2,0.50515,-999,-999,1.213114754,0.083902,0.054644809,-1.26245,1.26775956,0.103037,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,65,16,1.20412,3.4,0.531479,-999,-999,1.320652174,0.120788,0.059782609,-1.22343,1.38043478,0.140016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,66,18,1.255273,4.7,0.672098,-999,-999,2.541176471,0.405035,0.105882353,-0.97518,2.64705882,0.422764,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,67,21,1.322219,5.5,0.740363,-999,-999,4.820895522,0.683128,0.179104478,-0.74689,5,0.69897,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,68,23,1.361728,5.3,0.724276,-999,-999,4.507462687,0.653932,0.164179104,-0.78468,4.67164179,0.66947,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Acer spicatum,Cannell (1982).   Page 33,,69,26,1.414973,5.4,0.732394,-999,-999,5.75,0.759668,0.205882353,-0.68638,5.95588235,0.774946,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Acer rubrum, Betula papyrifera, Prunus pensylvanica, and Populus tremuloides",Cannell (1982).   Page 34,,70,7,0.845098,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
